id,Date,State,Total Confirmed Cases,Total Deaths
200,Tue 12/27,New Hampshire,366749,2851
201,Tue 12/27,New Jersey,2916729,35457
202,Tue 12/27,New Mexico,658042,8807
203,Tue 12/27,New York,6543018,77577
204,Tue 12/27,North Carolina,3316814,28789
205,Tue 12/27,North Dakota,280043,2469
206,Tue 12/27,Northern Mariana Islands,13236,41
207,Tue 12/27,Ohio,3294521,40949
208,Tue 12/27,Oklahoma,1244121,16041
209,Tue 12/27,Oregon,936721,8953
210,Tue 12/27,Pennsylvania,3403953,48881
211,Tue 12/27,Puerto Rico,1081824,5509
212,Tue 12/27,Rhode Island,443645,3800
213,Tue 12/27,South Carolina,1770059,19385
214,Tue 12/27,South Dakota,271433,3136
215,Tue 12/27,Tennessee,2358463,28262
216,Tue 12/27,Texas,8078548,92630
217,Tue 12/27,Utah,1072888,5177
218,Tue 12/27,Vermont,148031,791
219,Tue 12/27,Virgin Islands,23734,127
220,Tue 12/27,Virginia,2196867,22786
221,Tue 12/27,Washington,1879139,15021
222,Tue 12/27,West Virginia,623080,7786
223,Tue 12/27,Wisconsin,1956956,15827
224,Tue 12/27,Wyoming,182847,1959
225,Wed 12/28,Alabama,1568934,21208
226,Wed 12/28,Alaska,301774,1408
227,Wed 12/28,American Samoa,8266,34
228,Wed 12/28,Arizona,2378334,32182
229,Wed 12/28,Arkansas,983004,12694
230,Wed 12/28,California,11781729,100702
231,Wed 12/28,Colorado,1732984,13882
232,Wed 12/28,Connecticut,946236,11766
233,Wed 12/28,Delaware,321888,3206
234,Wed 12/28,District of Columbia,173626,1411
235,Wed 12/28,Florida,7269428,83606
236,Wed 12/28,Georgia,2898584,39964
237,Wed 12/28,Guam,60845,412
238,Wed 12/28,Hawaii,363188,1758
239,Wed 12/28,Idaho,511690,5329
240,Wed 12/28,Illinois,3970204,40633
241,Wed 12/28,Indiana,2002760,25364
242,Wed 12/28,Iowa,886408,10425
243,Wed 12/28,Kansas,917091,9850
244,Wed 12/28,Kentucky,1660077,17751
245,Wed 12/28,Louisiana,1514113,18370
246,Wed 12/28,Maine,305984,2807
247,Wed 12/28,Maryland,1315246,16007
248,Wed 12/28,Massachusetts,2144967,22793
249,Wed 12/28,Michigan,2979504,40715
250,Wed 12/28,Minnesota,1731172,14273
251,Wed 12/28,Mississippi,955145,13124
252,Wed 12/28,Missouri,1742713,23277
253,Wed 12/28,Montana,322552,3635
254,Wed 12/28,Nebraska,555157,4842
255,Wed 12/28,Nevada,874117,11880
256,Wed 12/28,New Hampshire,366952,2852
257,Wed 12/28,New Jersey,2919724,35469
258,Wed 12/28,New Mexico,658364,8807
259,Wed 12/28,New York,6546293,77619
260,Wed 12/28,North Carolina,3316814,28789
261,Wed 12/28,North Dakota,280043,2469
262,Wed 12/28,Northern Mariana Islands,13236,41
263,Wed 12/28,Ohio,3294521,40949
264,Wed 12/28,Oklahoma,1244121,16041
