PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
Kepler-93 b,0,0.0126,0.1319,4.72673978,0.053,0,,,,0.1765,,,transit,2014,15/01/06,19 25 40.3888,+38 40 20.450,96.7,0.911,0.919,-0.18,5669,6.6
Kepler-93 c,0,,,,,,,,,,,,RV,2014,15/01/06,19 25 40.3888,+38 40 20.450,96.7,0.911,0.919,-0.18,5669,6.6
WASP-38 b,0,2.71,1.09,6.87188,0.0758,0.028,-22.2,,,89.5,1152.9,,transit,2010,13/03/30,16 15 50,+10 01 57,110,1.23,1.35,-0.12,6150,3.41
KOI-370.02,0,,0.228,22.95102,0.178,,,,,,,,transit,2013,13/09/13,19 25 33,+44 31 44,589.92,1.419,1.98,,6022,4.21
KOI-370.01,0,,0.35,42.88254,0.269,0.11,,,,,,,transit,2013,13/09/13,19 25 33,+44 31 44,589.92,1.419,1.98,,6022,4.21
WASP-112 b,0,0.88,1.191,3.0353992,0.0382,,,,,86.68,1395,,transit,2014,14/10/14,22 37 57.43,-35 09 13.9,450,0.807,1.002,-0.64,5610,10.6
HD 126614 A b,2,0.38,,1244,2.35,0.41,243,,,,,,RV,2010,16/03/09,14 26 48.28070,-05 10 40.0074,72.6,1.145,1.09,0.56,5585,7.2
Kepler-437 b,0,,0.191,66.65062,0.288,,,,,89.9,,,transit,2015,15/01/28,19 49 23.37,+44 01 37.0,417,0.707,0.68,0,4551,2.9
tau Gem b,2,20.6,,305.5,1.17,0.031,137.4,,,,,,RV,2004,15/11/03,07 11 08.37042,+30 14 42.5831,98.4,2.3,26.8,0.14,4388,1.22
HATS-2 b,0,1.345,1.168,1.354133,0.023,0,,,,87.2,1577,,transit,2013,13/04/08,11 46 57.370,-22 21 46.82,360,0.88,0.89,0.15,5227,9.7
24 Sex b,0,1.99,,452.8,1.333,0.09,9.2,,,,,,RV,2010,15/09/23,10 23 28.370,-00 54 08.09,74.8,1.54,4.9,-0.03,5098,2.7
24 Sex c,0,0.86,,883,2.08,0.29,220.5,,,,,,RV,2010,15/09/23,10 23 28.370,-00 54 08.09,74.8,1.54,4.9,-0.03,5098,2.7
